2026-07-03 10:42:12,055 | INFO | src.article_enrichment | Enriched article (929 → 2352 chars, attachments=0, plan=False): 제2우주센터 건립 후보지 공모 실시
2026-07-03 10:42:12,567 | INFO | httpx | HTTP Request: GET https://www.korea.kr/briefing/pressReleaseView.do?newsId=156767391 "HTTP/1.1 200 OK"
2026-07-03 10:42:12,875 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493367&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:13,259 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493368&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:13,808 | INFO | httpx | HTTP Request: GET https://www.korea.kr/briefing/pressReleaseView.do?newsId=156767390 "HTTP/1.1 200 OK"
2026-07-03 10:42:14,107 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493366&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:14,160 | INFO | src.article_enrichment | Enriched article (4681 → 6099 chars, attachments=0, plan=False): 응급환자 이송체계 혁신 시범사업, 3개월간 응급실 미수용 '0건'
2026-07-03 10:42:14,646 | INFO | httpx | HTTP Request: GET https://www.korea.kr/briefing/pressReleaseView.do?newsId=156767389 "HTTP/1.1 200 OK"
2026-07-03 10:42:14,938 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493362&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:15,575 | INFO | httpx | HTTP Request: GET https://www.korea.kr/common/download.do?fileId=198493363&tblKey=GMN "HTTP/1.1 200 OK"
2026-07-03 10:42:16,008 | INFO | src.attachment_extractor | Extracted attachment text (2063 chars): https://www.korea.kr/common/download.do?fileId=198493363&tblKey=GMN
2026-07-03 10:42:16,019 | INFO | src.article_enrichment | Enriched article (82 → 3754 chars, attachments=1, plan=False): 국가 철도관제센터 첨단 모의관제시설 개방 … 6월 22일부터 참여기관 모집
